iteration,class,top,left,bottom,right,center_x,center_y
1,mario,41.59,192.99,53.79,207.51,200.25,47.69
2,mario,41.59,192.99,53.79,207.51,200.25,47.69
3,mario,40.22,188.42,55.22,203.61,196.015,47.72
4,mario,40.19,183.1,54.87,198.56,190.82999999999998,47.53
5,mario,40.15,179.08,55.09,194.23,186.655,47.620000000000005
6,mario,40.31,174.87,54.52,190.41,182.64,47.415000000000006
7,mario,40.24,172.08,54.78,187.31,179.695,47.510000000000005
8,mario,40.21,169.11,54.99,184.22,176.66500000000002,47.6
9,mario,40.07,168.2,55.11,183.17,175.685,47.59
10,mario,41.41,166.15,56.12,181.19,173.67000000000002,48.765
11,mario,41.41,166.15,56.12,181.19,173.67000000000002,48.765
12,mario,41.41,166.15,56.12,181.19,173.67000000000002,48.765
13,mario,41.99,167.21,57.23,182.27,174.74,49.61
14,mario,42.02,168.19,57.27,183.11,175.65,49.645
15,mario,42.99,171.19,58.19,186.01,178.6,50.59
16,mario,43.08,173.13,58.18,188.36,180.745,50.629999999999995
17,mario,44.14,176.95,58.95,192.16,184.555,51.545
18,mario,44.18,181.07,59.04,196.98,189.02499999999998,51.61
19,mario,45.13,186.3,60.04,201.65,193.97500000000002,52.585
20,mario,46.37,191.48,61.14,206.85,199.165,53.754999999999995
21,mario,48.75,193.72,60.05,207.04,200.38,54.4
22,mario,47.14,192.52,61.03,207.25,199.885,54.085
23,mario,45.49,188.3,60.87,203.61,195.955,53.18
24,mario,45.58,183.21,60.73,198.42,190.815,53.155
25,mario,45.66,179.02,60.64,194.97,186.995,53.15
26,mario,46.5,174.18,62.02,188.93,181.555,54.260000000000005
27,mario,46.54,170.17,61.84,185.39,177.77999999999997,54.19
28,mario,47.38,167.25,62.59,182.82,175.035,54.985
29,mario,47.51,164.27,62.59,179.8,172.03500000000003,55.05
30,mario,48.2,162.04,63.67,177.81,169.925,55.935
31,mario,49.54,161.25,65.0,176.7,168.975,57.269999999999996
32,mario,49.54,160.19,65.05,175.82,168.005,57.295
33,mario,50.46,160.11,65.78,175.84,167.97500000000002,58.120000000000005
34,mario,51.41,160.15,66.69,175.88,168.015,59.05
35,mario,52.46,162.01,67.9,177.8,169.905,60.18000000000001
36,mario,53.38,164.26,68.77,179.77,172.015,61.075
37,mario,55.25,166.1,70.89,181.94,174.01999999999998,63.07
38,mario,56.19,169.13,72.01,184.76,176.945,64.1
39,mario,57.32,173.14,72.52,188.85,180.995,64.92
40,mario,58.2,178.0,73.57,193.65,185.825,65.88499999999999
41,mario,60.54,183.27,75.57,198.45,190.86,68.05499999999999
42,mario,61.39,188.24,76.64,203.15,195.695,69.015
43,mario,66.71,192.39,78.15,206.92,199.65499999999997,72.43
44,mario,65.37,188.21,80.98,203.49,195.85000000000002,73.17500000000001
45,mario,67.31,183.23,82.6,198.49,190.86,74.955
46,mario,68.6,179.13,84.03,194.79,186.95999999999998,76.315
47,mario,70.65,176.13,85.61,191.8,183.965,78.13
48,mario,71.64,173.09,86.9,188.79,180.94,79.27000000000001
49,mario,73.71,170.17,88.69,185.76,177.96499999999997,81.19999999999999
50,mario,74.55,168.08,89.79,183.84,175.96,82.17
51,mario,76.73,167.27,91.61,182.77,175.02,84.17
52,mario,78.51,166.13,94.07,181.74,173.935,86.28999999999999
53,mario,79.3,166.05,94.86,181.74,173.895,87.08
54,mario,80.42,167.18,95.82,182.8,174.99,88.12
55,mario,81.54,168.15,97.04,183.61,175.88,89.29
55,box,253.62,144.31,255.92,158.99,151.65,254.76999999999998
56,mario,82.34,169.06,97.88,184.7,176.88,90.11
56,box,252.59,144.24,256.0,158.85,151.54500000000002,254.29500000000002
57,mario,82.42,172.08,97.85,187.72,179.9,90.13499999999999
57,box,251.64,144.09,256.0,158.89,151.49,253.82
58,mario,83.55,174.18,98.75,189.75,181.965,91.15
58,box,250.65,144.03,255.99,159.04,151.535,253.32
59,mario,84.73,177.2,99.98,192.59,184.89499999999998,92.355
59,box,249.7,143.96,256.0,159.07,151.515,252.85
60,mario,84.83,181.13,100.0,196.54,188.83499999999998,92.41499999999999
60,box,248.79,143.94,256.0,159.08,151.51,252.39499999999998
61,mario,85.49,186.2,100.73,201.74,193.97,93.11
61,box,247.73,144.0,255.92,159.05,151.525,251.825
62,mario,86.28,191.05,101.74,206.65,198.85000000000002,94.00999999999999
62,box,246.51,144.04,255.94,159.0,151.51999999999998,251.225
63,mario,90.1,192.48,102.04,207.27,199.875,96.07
63,box,245.53,144.05,255.88,158.99,151.52,250.70499999999998
64,box,244.55,144.03,255.93,159.0,151.515,250.24
64,mario,90.6,193.52,101.99,207.4,200.46,96.29499999999999
65,box,243.63,144.03,255.95,159.0,151.515,249.79
65,mario,89.47,192.49,102.98,207.17,199.82999999999998,96.225
66,box,242.54,144.04,255.92,159.08,151.56,249.23
66,mario,90.6,192.35,103.92,207.23,199.79,97.25999999999999
67,box,241.55,144.04,255.94,159.1,151.57,248.745
67,mario,91.23,187.26,106.2,202.8,195.03,98.715
68,box,240.75,144.04,255.97,159.09,151.565,248.36
68,mario,92.16,181.17,107.09,196.54,188.855,99.625
69,box,239.64,144.05,255.55,159.08,151.565,247.595
69,mario,93.2,176.24,108.0,191.63,183.935,100.6
70,mario,94.26,172.19,108.98,187.65,179.92000000000002,101.62
70,box,238.6,144.06,253.98,159.03,151.54500000000002,246.29
71,box,236.53,144.03,252.11,159.08,151.555,244.32
71,mario,95.04,168.22,110.16,183.62,175.92000000000002,102.6
72,box,235.62,144.06,250.89,159.04,151.55,243.255
72,mario,96.11,166.19,110.92,181.7,173.945,103.515
73,box,234.43,144.08,250.0,159.07,151.575,242.215
73,mario,97.1,164.17,112.17,179.75,171.95999999999998,104.63499999999999
74,box,232.48,144.1,247.98,159.03,151.565,240.23
74,mario,98.14,163.26,113.02,178.74,171.0,105.58
75,box,231.48,144.08,247.02,159.09,151.585,239.25
75,mario,99.2,163.25,113.92,178.72,170.985,106.56
76,box,229.29,144.1,245.0,159.04,151.57,237.14499999999998
76,mario,100.07,164.18,115.27,179.73,171.95499999999998,107.66999999999999
77,box,228.39,144.08,244.03,159.09,151.585,236.20999999999998
77,mario,101.1,165.22,116.12,180.65,172.935,108.61
78,box,226.38,144.09,242.09,159.06,151.575,234.235
78,mario,102.05,168.2,117.25,183.7,175.95,109.65
79,box,224.46,144.09,239.98,159.06,151.575,232.22
79,mario,103.02,171.13,118.16,186.77,178.95,110.59
80,box,222.39,144.11,238.02,158.99,151.55,230.20499999999998
80,mario,104.18,175.22,118.86,190.64,182.93,111.52000000000001
81,box,220.48,144.09,236.13,159.06,151.575,228.305
81,mario,105.13,180.29,120.08,195.53,187.91,112.60499999999999
82,box,218.43,144.08,234.0,159.08,151.58,226.215
82,mario,106.14,185.23,120.98,200.44,192.83499999999998,113.56
83,box,217.32,144.0,232.07,158.97,151.485,224.695
83,mario,107.27,190.27,122.29,205.53,197.9,114.78
84,box,215.12,144.01,230.15,159.0,151.505,222.635
84,mario,110.31,193.48,121.71,207.67,200.575,116.00999999999999
85,mario,109.22,192.38,122.74,207.23,199.805,115.97999999999999
85,box,213.02,143.97,228.05,159.02,151.495,220.53500000000003
86,box,211.25,143.99,226.08,159.01,151.5,218.66500000000002
86,mario,112.5,192.49,123.85,206.98,199.735,118.175
87,box,209.26,144.0,224.13,159.0,151.5,216.695
87,mario,111.48,186.86,125.89,202.84,194.85000000000002,118.685
88,box,207.13,143.99,222.08,158.95,151.47,214.60500000000002
88,mario,112.27,180.85,126.65,196.75,188.8,119.46000000000001
89,mario,112.0,175.73,126.67,191.79,183.76,119.33500000000001
89,box,203.4,144.11,218.97,159.0,151.555,211.185
90,mario,111.72,171.67,126.71,187.79,179.73,119.215
90,box,200.46,144.1,215.98,159.03,151.565,208.22
91,box,197.31,144.1,212.99,159.05,151.575,205.15
91,mario,111.68,167.86,126.61,183.74,175.8,119.14500000000001
92,mario,111.62,165.69,126.73,181.8,173.745,119.17500000000001
92,box,194.37,144.09,210.09,159.06,151.575,202.23000000000002
93,box,191.43,144.1,207.06,159.07,151.58499999999998,199.245
93,mario,111.81,164.01,126.58,179.77,171.89,119.195
94,mario,111.79,162.85,126.69,178.81,170.82999999999998,119.24000000000001
94,box,188.44,144.09,204.12,159.07,151.57999999999998,196.28
95,mario,111.91,162.91,126.69,178.81,170.86,119.3
95,box,185.39,144.09,201.06,159.07,151.57999999999998,193.225
96,box,182.36,144.09,198.06,159.06,151.575,190.21
96,mario,112.06,164.12,126.58,179.74,171.93,119.32
96,box,246.38,144.34,256.0,159.04,151.69,251.19
97,box,179.57,144.03,194.96,159.08,151.555,187.265
97,mario,112.06,165.0,126.66,180.72,172.86,119.36
97,box,243.5,144.33,256.0,158.91,151.62,249.75
98,box,176.58,144.03,191.96,159.08,151.555,184.27
98,mario,112.09,168.03,126.63,183.72,175.875,119.36
98,box,240.57,144.33,256.0,159.0,151.66500000000002,248.285
99,box,173.5,144.02,188.9,159.11,151.565,181.2
99,mario,112.14,170.97,126.65,186.76,178.865,119.39500000000001
99,box,237.59,144.29,256.0,159.01,151.64999999999998,246.79500000000002
100,mario,112.2,174.96,126.73,190.91,182.935,119.465
100,box,170.54,144.03,186.0,159.12,151.575,178.26999999999998
