iteration,class,top,left,bottom,right,center_x,center_y
1,mario,41.59,192.99,53.79,207.51,200.25,47.69
2,mario,41.59,192.99,53.79,207.51,200.25,47.69
3,mario,40.22,188.42,55.22,203.61,196.015,47.72
4,mario,40.19,183.1,54.87,198.56,190.82999999999998,47.53
5,mario,40.15,179.08,55.09,194.23,186.655,47.620000000000005
6,mario,40.31,174.87,54.52,190.41,182.64,47.415000000000006
7,mario,40.24,172.08,54.78,187.31,179.695,47.510000000000005
8,mario,40.21,169.11,54.99,184.22,176.66500000000002,47.6
9,mario,41.14,168.13,56.22,183.02,175.575,48.68
10,mario,41.41,166.15,56.12,181.19,173.67000000000002,48.765
11,mario,41.41,166.15,56.12,181.19,173.67000000000002,48.765
12,mario,41.41,166.15,56.12,181.19,173.67000000000002,48.765
13,mario,41.15,167.23,56.15,182.21,174.72,48.65
14,mario,41.14,168.13,56.22,183.02,175.575,48.68
15,mario,41.9,171.18,57.23,186.02,178.60000000000002,49.565
16,mario,42.1,173.08,57.06,188.22,180.65,49.58
17,mario,43.14,176.81,57.94,192.15,184.48000000000002,50.54
18,mario,43.19,180.95,57.83,196.88,188.915,50.51
19,mario,43.1,186.3,58.17,201.66,193.98000000000002,50.635000000000005
20,mario,44.3,191.37,59.41,206.81,199.09,51.855
21,mario,46.36,193.49,57.77,207.21,200.35000000000002,52.065
22,mario,45.1,192.44,59.17,207.16,199.8,52.135000000000005
23,mario,45.12,188.37,59.98,203.89,196.13,52.55
24,mario,46.17,183.0,60.97,198.67,190.83499999999998,53.57
25,mario,47.16,178.97,61.75,194.82,186.89499999999998,54.455
26,mario,47.13,175.14,61.99,189.99,182.565,54.56
27,mario,48.12,172.22,63.04,187.04,179.63,55.58
28,mario,49.39,169.15,64.17,184.19,176.67000000000002,56.78
29,mario,50.4,168.22,65.27,183.38,175.8,57.834999999999994
30,mario,51.07,166.18,66.09,181.66,173.92000000000002,58.58
31,mario,52.03,166.13,67.16,181.77,173.95,59.595
32,mario,52.03,166.13,67.16,181.77,173.95,59.595
33,mario,53.07,167.32,68.26,182.74,175.03,60.665000000000006
34,mario,54.21,168.15,69.3,183.73,175.94,61.754999999999995
35,mario,55.26,171.09,70.37,186.64,178.865,62.815
36,mario,56.13,173.34,71.31,188.64,180.99,63.72
37,mario,57.38,177.25,72.22,192.11,184.68,64.8
38,mario,58.13,181.23,73.28,195.98,188.605,65.705
39,mario,59.12,186.21,74.09,201.4,193.805,66.605
40,mario,60.44,191.1,75.02,206.78,198.94,67.72999999999999
41,mario,63.92,193.58,74.89,207.08,200.33,69.405
42,mario,62.46,192.34,75.78,207.15,199.745,69.12
43,mario,63.58,192.49,77.05,207.04,199.765,70.315
44,mario,64.11,188.31,78.9,203.21,195.76,71.505
45,mario,65.38,183.22,80.18,198.2,190.70999999999998,72.78
46,mario,66.22,179.23,81.08,194.64,186.935,73.65
47,mario,67.36,175.17,82.08,190.61,182.89,74.72
48,mario,68.28,172.12,83.08,187.67,179.89499999999998,75.68
49,mario,69.25,169.22,84.22,184.7,176.95999999999998,76.735
50,mario,70.23,168.19,85.31,183.75,175.97,77.77000000000001
51,mario,71.22,166.15,86.0,181.72,173.935,78.61
52,mario,73.25,166.14,88.04,181.7,173.92,80.64500000000001
53,mario,74.22,166.16,88.96,181.67,173.915,81.59
54,mario,75.18,167.31,90.2,182.75,175.03,82.69
55,mario,77.18,168.2,92.28,183.73,175.96499999999997,84.73
56,mario,78.26,171.18,93.14,186.87,179.025,85.7
57,mario,80.23,173.27,95.0,188.73,181.0,87.61500000000001
58,mario,80.25,177.24,95.13,192.64,184.94,87.69
59,mario,81.26,181.16,96.02,196.5,188.82999999999998,88.64
59,box,253.61,144.37,255.92,158.96,151.66500000000002,254.765
60,mario,81.38,186.2,96.32,201.62,193.91,88.85
60,box,252.59,144.26,256.0,158.84,151.55,254.29500000000002
61,mario,82.62,191.12,97.12,206.49,198.805,89.87
61,box,251.65,144.09,256.0,158.89,151.49,253.825
62,mario,85.94,193.51,97.04,207.23,200.37,91.49000000000001
62,box,250.64,144.03,255.99,159.04,151.535,253.315
63,mario,83.74,192.4,96.89,207.17,199.785,90.315
63,box,249.7,143.96,256.0,159.07,151.515,252.85
64,mario,86.45,192.48,98.01,206.81,199.64499999999998,92.23
64,box,248.79,143.94,256.0,159.09,151.515,252.39499999999998
65,mario,84.61,188.16,100.09,203.8,195.98000000000002,92.35
65,box,247.74,144.01,255.92,159.05,151.53,251.82999999999998
66,box,246.5,144.04,255.95,159.0,151.51999999999998,251.225
66,mario,85.76,183.23,100.75,198.57,190.89999999999998,93.255
67,mario,85.6,179.09,100.93,194.7,186.89499999999998,93.265
67,box,245.53,144.05,255.89,158.99,151.52,250.70999999999998
68,mario,86.36,175.1,101.73,190.64,182.87,94.045
68,box,244.54,144.03,255.93,158.99,151.51,250.235
69,box,243.63,144.03,255.95,159.0,151.515,249.79
69,mario,87.61,171.05,102.92,186.77,178.91000000000003,95.265
70,mario,88.5,169.14,104.03,184.71,176.925,96.265
70,box,242.53,144.04,255.92,159.08,151.56,249.225
71,box,241.55,144.04,255.94,159.1,151.57,248.745
71,mario,88.55,166.13,104.03,181.75,173.94,96.28999999999999
72,box,240.75,144.04,255.97,159.09,151.565,248.36
72,mario,89.59,165.15,104.64,180.71,172.93,97.11500000000001
73,box,239.61,144.09,255.64,159.04,151.565,247.625
73,mario,90.48,164.16,105.81,179.73,171.945,98.14500000000001
74,mario,91.59,163.16,107.02,178.76,170.95999999999998,99.305
74,box,238.43,144.1,254.01,158.99,151.54500000000002,246.22
75,box,237.38,144.08,253.03,159.06,151.57,245.20499999999998
75,mario,91.6,163.16,107.02,178.77,170.965,99.31
76,box,236.46,144.09,252.15,159.05,151.57,244.305
76,mario,92.63,164.26,107.65,179.75,172.005,100.14
77,box,235.43,144.11,250.94,159.0,151.555,243.185
77,mario,93.36,165.07,108.74,180.84,172.95499999999998,101.05
78,box,234.43,144.08,249.99,159.07,151.575,242.21
78,mario,94.59,167.24,109.91,182.71,174.97500000000002,102.25
79,box,233.43,144.09,249.09,159.05,151.57,241.26
79,mario,94.55,169.15,110.04,184.7,176.925,102.295
80,box,232.48,144.1,247.98,159.02,151.56,240.23
80,mario,95.57,172.1,110.78,187.72,179.91,103.175
81,box,232.14,143.97,247.02,159.02,151.495,239.57999999999998
81,mario,96.44,175.11,111.68,190.71,182.91000000000003,104.06
82,box,231.08,144.01,246.13,159.0,151.505,238.60500000000002
82,mario,97.8,179.14,113.0,194.68,186.91,105.4
83,box,230.26,143.99,245.07,158.98,151.485,237.665
83,mario,97.77,184.15,112.97,199.37,191.76,105.37
84,mario,98.3,189.15,113.69,204.73,196.94,105.995
84,box,229.04,144.0,244.04,158.93,151.465,236.54
85,box,228.22,144.0,243.11,158.99,151.495,235.66500000000002
85,mario,102.01,192.51,113.96,207.1,199.805,107.985
86,box,227.31,143.98,242.1,159.0,151.49,234.70499999999998
86,mario,99.09,188.18,114.7,203.65,195.91500000000002,106.89500000000001
87,mario,100.99,183.2,115.89,198.51,190.855,108.44
87,box,226.1,143.99,241.08,158.94,151.465,233.59
88,box,225.24,144.0,240.08,159.01,151.505,232.66000000000003
88,mario,101.68,179.1,116.85,194.69,186.89499999999998,109.265
89,box,223.47,144.09,239.08,159.06,151.575,231.275
89,mario,102.44,175.12,117.64,190.64,182.88,110.03999999999999
90,box,222.39,144.11,238.02,158.99,151.55,230.20499999999998
90,mario,102.6,171.1,117.59,186.74,178.92000000000002,110.095
91,box,221.37,144.09,236.97,159.05,151.57,229.17000000000002
91,mario,103.56,169.06,118.79,184.79,176.925,111.17500000000001
92,mario,104.59,166.05,120.04,181.79,173.92000000000002,112.315
92,box,220.48,144.09,236.13,159.06,151.575,228.305
93,box,219.45,144.1,234.98,159.0,151.55,227.21499999999997
93,mario,105.51,165.07,120.65,180.71,172.89,113.08000000000001
94,box,218.41,144.08,233.99,159.08,151.58,226.2
94,mario,105.63,164.18,120.67,179.74,171.96,113.15
95,mario,106.39,162.98,121.77,178.87,170.925,114.08
95,box,217.38,144.09,233.07,159.06,151.575,225.225
96,box,216.42,144.11,231.97,159.02,151.565,224.195
96,mario,107.54,163.0,122.96,178.78,170.89,115.25
97,box,215.66,144.03,231.03,159.13,151.57999999999998,223.345
97,mario,108.68,164.09,123.62,179.77,171.93,116.15
98,box,214.56,144.03,230.01,159.07,151.55,222.285
98,mario,108.57,164.98,123.65,180.73,172.855,116.11
99,box,213.56,144.04,229.0,159.09,151.565,221.28
99,mario,109.45,166.97,124.73,182.77,174.87,117.09
100,box,212.56,144.03,228.04,159.14,151.58499999999998,220.3
100,mario,110.53,168.93,125.94,184.77,176.85000000000002,118.235
101,box,211.61,144.03,226.98,159.08,151.555,219.29500000000002
101,mario,111.6,171.76,126.73,187.78,179.76999999999998,119.16499999999999
102,box,210.48,144.05,226.04,159.09,151.57,218.26
102,mario,111.75,174.78,126.72,190.75,182.765,119.235
103,mario,112.12,178.73,126.72,194.81,186.76999999999998,119.42
103,box,208.68,144.03,223.99,159.08,151.555,216.335
104,box,206.56,144.06,221.98,159.03,151.54500000000002,214.26999999999998
104,mario,112.32,183.74,126.68,199.77,191.755,119.5
