iteration,class,top,left,bottom,right,center_x,center_y,object_id
1,mario,41.59,192.99,53.79,207.51,200.25,47.69,0
2,mario,41.59,192.99,53.79,207.51,200.25,47.69,0
3,mario,40.22,188.41,55.22,203.6,196.01,47.72,0
4,mario,40.19,183.1,54.87,198.56,190.83,47.53,0
5,mario,40.15,179.08,55.09,194.22,186.65,47.62,0
6,mario,40.14,173.97,54.88,189.22,181.6,47.51,0
7,mario,41.09,170.16,56.03,185.1,177.63,48.56,0
8,mario,41.15,167.23,56.15,182.21,174.72,48.65,0
9,mario,41.31,163.16,56.12,178.6,170.88,48.72,0
10,mario,41.03,161.22,56.31,176.52,168.87,48.67,0
11,mario,42.13,159.04,57.29,174.58,166.81,49.71,0
12,mario,42.18,158.1,57.46,173.72,165.91,49.82,0
13,mario,42.12,157.18,57.36,172.86,165.02,49.74,0
14,mario,43.19,157.31,58.47,172.8,165.05,50.83,0
15,mario,43.13,158.2,58.35,173.81,166.01,50.74,0
16,mario,43.98,159.07,59.22,174.67,166.87,51.6,0
17,mario,43.99,161.19,59.35,176.67,168.93,51.67,0
18,mario,45.16,164.22,60.33,179.46,171.84,52.74,0
19,mario,45.0,167.25,60.22,182.23,174.74,52.61,0
20,mario,46.13,171.18,61.24,186.06,178.62,53.69,0
21,mario,47.14,176.12,61.98,191.12,183.62,54.56,0
22,mario,47.15,180.97,61.95,196.25,188.61,54.55,0
23,mario,48.03,186.25,62.98,201.56,193.91,55.51,0
24,mario,49.52,191.75,64.22,206.74,199.24,56.87,0
25,mario,51.49,193.96,62.87,207.22,200.59,57.18,0
26,mario,50.12,188.31,65.1,203.61,195.96,57.61,0
27,mario,50.96,183.13,65.92,198.19,190.66,58.44,0
28,mario,52.21,179.15,67.06,194.31,186.73,59.63,0
29,mario,53.32,176.25,68.17,191.12,183.68,60.74,0
30,mario,54.42,173.22,69.12,188.41,180.82,61.77,0
31,mario,55.26,171.09,70.37,186.65,178.87,62.81,0
32,mario,56.17,170.32,71.29,185.69,178.01,63.73,0
33,mario,57.08,169.16,72.12,184.66,176.91,64.6,0
34,mario,58.14,169.16,73.08,184.7,176.93,65.61,0
35,mario,60.24,170.22,75.18,185.73,177.98,67.71,0
36,mario,61.28,171.12,76.38,186.81,178.96,68.83,0
37,mario,62.25,173.22,77.29,188.86,181.04,69.77,0
38,mario,63.09,176.29,78.11,191.6,183.95,70.6,0
39,mario,65.21,179.19,80.07,194.7,186.95,72.64,0
40,mario,66.34,183.31,81.07,198.23,190.77,73.71,0
41,mario,68.5,187.19,83.37,202.11,194.65,75.93,0
42,mario,73.33,193.55,83.98,206.97,200.26,78.65,0
43,mario,72.28,192.34,84.84,207.0,199.67,78.56,0
44,mario,73.48,188.25,88.04,203.45,195.85,80.76,0
45,mario,74.23,183.25,89.23,198.32,190.79,81.73,0
46,mario,76.22,179.22,91.03,194.7,186.96,83.62,0
47,mario,77.22,175.15,91.97,190.63,182.89,84.6,0
48,mario,79.2,171.16,94.08,186.66,178.91,86.64,0
49,mario,80.27,169.21,94.95,184.66,176.93,87.61,0
50,mario,81.28,166.15,96.04,181.72,173.93,88.66,0
51,mario,82.23,165.12,97.11,180.64,172.88,89.67,0
51,box,253.61,144.35,255.93,158.97,151.66,254.77,1
52,mario,83.21,164.28,98.16,179.71,171.99,90.68,0
52,box,252.58,144.25,256.0,158.85,151.55,254.29,1
53,mario,83.22,163.23,97.97,178.69,170.96,90.6,0
53,box,251.64,144.09,256.0,158.89,151.49,253.82,1
54,mario,84.17,163.19,99.01,178.75,170.97,91.59,0
54,box,250.64,144.03,256.0,159.04,151.54,253.32,1
55,mario,85.11,164.31,100.11,179.67,171.99,92.61,0
55,box,249.7,143.95,256.0,159.06,151.51,252.85,1
56,mario,86.24,165.13,101.17,180.69,172.91,93.71,0
56,box,248.8,143.94,256.0,159.07,151.51,252.4,1
57,mario,86.24,167.27,101.12,182.67,174.97,93.68,0
57,box,247.74,144.01,255.92,159.05,151.53,251.83,1
58,mario,87.18,169.18,101.95,184.62,176.9,94.57,0
58,box,246.5,144.04,255.94,159.0,151.52,251.22,1
59,mario,88.22,172.22,103.15,187.62,179.92,95.68,0
59,box,245.53,144.05,255.89,158.99,151.52,250.71,1
60,mario,89.19,175.15,104.09,190.57,182.86,96.64,0
60,box,244.55,144.03,255.93,158.99,151.51,250.24,1
61,box,243.63,144.02,255.95,159.0,151.51,249.79,1
61,mario,89.17,179.19,104.05,194.62,186.91,96.61,0
62,box,242.54,144.04,255.92,159.08,151.56,249.23,1
62,mario,90.16,184.19,105.26,199.31,191.75,97.71,0
63,box,241.56,144.04,255.94,159.1,151.57,248.75,1
63,mario,91.36,189.31,106.32,204.65,196.98,98.84,0
64,box,240.75,144.04,255.97,159.09,151.57,248.36,1
64,mario,94.5,193.5,105.9,207.06,200.28,100.2,0
65,box,239.65,144.06,255.55,159.08,151.57,247.6,1
65,mario,92.48,192.5,105.95,206.87,199.68,99.22,0
66,mario,93.27,188.22,108.13,203.54,195.88,100.7,0
66,box,238.61,144.05,253.97,159.03,151.54,246.29,1
67,box,237.62,144.02,253.02,159.09,151.55,245.32,1
67,mario,94.16,183.25,109.22,198.44,190.85,101.69,0
68,box,236.53,144.03,252.11,159.08,151.55,244.32,1
68,mario,95.11,179.25,110.02,194.62,186.93,102.57,0
69,box,235.62,144.06,250.89,159.04,151.55,243.26,1
69,mario,95.11,176.31,110.02,191.62,183.96,102.57,0
70,box,234.59,144.03,249.98,159.11,151.57,242.29,1
70,mario,96.13,173.25,111.05,188.73,180.99,103.59,0
71,box,233.57,144.03,249.03,159.07,151.55,241.3,1
71,mario,97.11,170.15,112.15,185.73,177.94,104.63,0
72,box,232.67,144.05,247.95,159.07,151.56,240.31,1
72,mario,98.1,168.25,113.06,183.62,175.93,105.58,0
73,box,231.48,144.09,247.02,159.09,151.59,239.25,1
73,mario,98.05,167.29,113.04,182.67,174.98,105.54,0
74,box,230.36,144.09,246.06,159.05,151.57,238.21,1
74,mario,99.18,166.2,113.9,181.69,173.95,106.54,0
75,box,229.3,144.1,245.0,159.04,151.57,237.15,1
75,mario,100.12,166.19,115.02,181.74,173.96,107.57,0
76,box,228.39,144.09,244.03,159.09,151.59,236.21,1
76,mario,100.04,167.17,115.26,182.73,174.95,107.65,0
77,mario,101.06,168.3,116.19,183.59,175.95,108.62,0
77,box,227.44,144.09,243.02,159.05,151.57,235.23,1
78,box,226.39,144.08,242.09,159.06,151.57,234.24,1
78,mario,102.11,169.24,117.02,184.69,176.96,109.57,0
79,box,225.36,144.08,241.04,159.1,151.59,233.2,1
79,mario,102.11,172.2,117.03,187.7,179.95,109.57,0
80,box,224.46,144.08,239.98,159.06,151.57,232.22,1
80,mario,103.03,174.16,118.19,189.74,181.95,110.61,0
81,box,224.21,144.0,239.05,159.02,151.51,231.63,1
81,mario,104.14,177.3,119.14,192.48,184.89,111.64,0
82,box,223.1,144.0,238.08,158.95,151.48,230.59,1
82,mario,105.16,181.2,120.06,196.56,188.88,112.61,0
83,box,222.22,144.0,237.08,159.01,151.51,229.65,1
83,mario,105.24,186.25,120.0,201.61,193.93,112.62,0
84,mario,106.23,191.12,121.27,206.26,198.69,113.75,0
84,box,221.19,143.99,236.12,159.01,151.5,228.65,1
85,box,220.31,143.99,235.05,158.95,151.47,227.68,1
85,mario,109.3,193.64,121.1,206.84,200.24,115.2,0
86,box,219.19,143.98,234.01,159.02,151.5,226.6,1
86,mario,108.2,192.52,121.89,207.0,199.76,115.04,0
87,box,218.09,144.01,233.11,159.01,151.51,225.6,1
87,mario,110.02,192.49,121.85,207.37,199.93,115.93,0
88,box,217.31,144.0,232.07,158.98,151.49,224.69,1
88,mario,111.21,192.38,122.77,206.94,199.66,116.99,0
89,box,215.48,144.09,231.03,159.09,151.59,223.26,1
89,mario,109.67,187.92,124.79,203.96,195.94,117.23,0
90,mario,111.26,183.0,125.83,198.72,190.86,118.54,0
90,box,214.38,144.08,230.06,159.06,151.57,222.22,1
91,mario,111.21,178.93,125.91,194.77,186.85,118.56,0
91,box,213.34,144.09,229.02,159.04,151.57,221.18,1
92,box,212.39,144.08,228.03,159.1,151.59,220.21,1
92,mario,111.68,174.84,126.72,190.73,182.79,119.2,0
93,box,210.33,144.09,226.07,159.07,151.58,218.2,1
93,mario,111.63,170.74,126.67,186.75,178.74,119.15,0
94,box,209.38,144.09,225.04,159.09,151.59,217.21,1
94,mario,111.41,168.75,126.73,184.77,176.76,119.07,0
95,mario,111.31,165.69,126.75,181.81,173.75,119.03,0
95,box,207.52,144.08,223.1,159.06,151.57,215.31,1
96,box,205.36,144.08,220.94,159.06,151.57,213.15,1
96,mario,111.26,164.82,126.66,180.76,172.79,118.96,0
97,box,203.59,144.06,218.92,159.05,151.55,211.26,1
97,mario,111.32,163.88,126.58,179.8,171.84,118.95,0
98,box,202.57,144.03,218.0,159.11,151.57,210.29,1
98,mario,111.18,162.71,126.69,178.84,170.77,118.93,0
99,mario,111.19,162.71,126.69,178.84,170.77,118.94,0
99,box,200.65,144.05,215.95,159.07,151.56,208.3,1
100,box,198.54,144.03,213.98,159.08,151.55,206.26,1
100,mario,111.51,163.94,126.57,179.8,171.87,119.04,0
101,box,196.58,144.03,212.04,159.13,151.58,204.31,1
101,mario,111.64,164.88,126.64,180.76,172.82,119.14,0
102,box,195.61,144.03,211.0,159.07,151.55,203.3,1
102,mario,111.9,167.01,126.54,182.79,174.9,119.22,0
103,box,193.53,144.05,209.02,159.13,151.59,201.27,1
103,mario,111.81,168.76,126.71,184.76,176.76,119.26,0
104,box,191.5,144.04,207.04,159.09,151.57,199.27,1
104,mario,112.14,171.8,126.74,187.78,179.79,119.44,0
105,mario,112.14,174.88,126.74,190.76,182.82,119.44,0
105,box,190.52,144.05,205.97,159.03,151.54,198.24,1
106,mario,112.28,178.97,126.72,194.89,186.93,119.5,0
106,box,188.48,144.04,204.08,159.09,151.57,196.28,1
107,box,186.54,144.03,201.97,159.11,151.57,194.26,1
107,mario,112.31,184.06,125.31,199.2,191.63,118.81,0
108,box,184.64,144.06,199.94,159.07,151.57,192.29,1
108,mario,112.33,189.15,125.09,203.96,196.55,118.71,0
109,box,183.66,144.03,199.04,159.13,151.58,191.35,1
109,mario,114.16,192.48,125.82,206.96,199.72,119.99,0
