iteration,class,top,left,bottom,right,center_x,center_y,object_id
1,mario,41.59,192.99,53.79,207.51,200.25,47.69,0
2,mario,41.59,192.99,53.79,207.51,200.25,47.69,0
3,mario,40.22,188.41,55.22,203.6,196.01,47.72,0
4,mario,40.19,183.1,54.87,198.56,190.83,47.53,0
5,mario,40.15,179.08,55.09,194.22,186.65,47.62,0
6,mario,40.31,174.87,54.53,190.41,182.64,47.42,0
7,mario,40.24,172.08,54.78,187.31,179.7,47.51,0
8,mario,40.21,169.1,54.99,184.22,176.66,47.6,0
9,mario,40.07,168.19,55.11,183.17,175.68,47.59,0
10,mario,41.41,166.15,56.11,181.19,173.67,48.76,0
11,mario,41.41,166.15,56.11,181.19,173.67,48.76,0
12,mario,41.41,166.15,56.11,181.19,173.67,48.76,0
13,mario,41.99,167.21,57.23,182.27,174.74,49.61,0
14,mario,42.02,168.19,57.27,183.11,175.65,49.65,0
15,mario,42.99,171.19,58.19,186.01,178.6,50.59,0
16,mario,43.08,173.12,58.18,188.36,180.74,50.63,0
17,mario,44.13,176.95,58.95,192.16,184.55,51.54,0
18,mario,44.18,181.06,59.04,196.98,189.02,51.61,0
19,mario,45.12,186.3,60.03,201.66,193.98,52.58,0
20,mario,46.38,191.47,61.14,206.84,199.16,53.76,0
21,mario,48.75,193.72,60.05,207.04,200.38,54.4,0
22,mario,47.13,192.51,61.02,207.25,199.88,54.08,0
23,mario,45.49,188.31,60.87,203.62,195.96,53.18,0
24,mario,45.57,183.22,60.73,198.42,190.82,53.15,0
25,mario,45.66,179.02,60.64,194.97,186.99,53.15,0
26,mario,46.5,174.18,62.02,188.93,181.55,54.26,0
27,mario,46.54,170.17,61.84,185.39,177.78,54.19,0
28,mario,47.39,167.25,62.59,182.82,175.04,54.99,0
29,mario,47.51,164.28,62.59,179.8,172.04,55.05,0
30,mario,48.2,162.05,63.67,177.81,169.93,55.94,0
31,mario,49.54,161.25,65.0,176.7,168.98,57.27,0
32,mario,49.53,160.19,65.05,175.82,168.01,57.29,0
33,mario,50.46,160.11,65.78,175.84,167.98,58.12,0
34,mario,51.41,160.14,66.69,175.88,168.01,59.05,0
35,mario,52.46,162.0,67.9,177.8,169.9,60.18,0
36,mario,53.38,164.25,68.78,179.76,172.01,61.08,0
37,mario,55.25,166.1,70.89,181.94,174.02,63.07,0
38,mario,56.19,169.13,72.01,184.76,176.95,64.1,0
39,mario,57.32,173.14,72.52,188.84,180.99,64.92,0
40,mario,58.2,178.0,73.58,193.64,185.82,65.89,0
41,mario,60.55,183.27,75.58,198.45,190.86,68.06,0
42,mario,61.39,188.24,76.64,203.16,195.7,69.01,0
43,mario,66.71,192.39,78.15,206.91,199.65,72.43,0
44,mario,65.38,188.21,80.99,203.49,195.85,73.18,0
45,mario,67.31,183.23,82.6,198.49,190.86,74.96,0
46,mario,68.6,179.13,84.03,194.79,186.96,76.32,0
47,mario,70.65,176.12,85.61,191.8,183.96,78.13,0
48,mario,71.64,173.09,86.9,188.79,180.94,79.27,0
49,mario,73.71,170.17,88.69,185.75,177.96,81.2,0
50,mario,74.55,168.08,89.79,183.84,175.96,82.17,0
51,mario,76.73,167.27,91.61,182.77,175.02,84.17,0
52,mario,78.51,166.12,94.07,181.74,173.93,86.29,0
53,mario,79.3,166.06,94.86,181.75,173.9,87.08,0
